PSZ,DOM,vanA,vanB,subcool,CRD,flow_rate,power_density,VFNGAP
112.559,224.111,321.017,350.573,23.314,9,257.797,64.317,0.337
130.663,206.007,313.874,357.716,21.583,13,252.644,64.005,0.347
132.113,204.557,322.147,349.443,23.901,30,258.528,63.828,0.325
126.029,210.641,315.069,356.521,26.072,45,248.438,65.674,0.228
132.424,204.246,284.404,387.186,22.955,14,256.515,62.303,0.351
123.971,212.699,334.067,337.523,26.35,23,254.02,66.914,0.264
124.853,211.817,355.784,315.806,25.811,7,252.944,65.926,0.43
121.95,214.72,314.108,357.482,24.252,2,252.308,69.661,0.205
109.687,226.983,314.239,357.351,28.165,34,251.275,62.943,0.336
112.202,224.468,285.074,386.516,23.779,36,252.454,65.77,0.379
109.87,226.8,350.247,321.343,22.114,44,250.777,62.996,0.381
128.32,208.35,353.237,318.353,23.526,20,251.65,66.438,0.348
118.498,218.172,344.287,327.303,24.547,20,254.116,65.612,0.485
124.421,212.249,289.748,381.842,23.034,3,255.645,67.012,0.336
136.59,200.08,351.007,320.583,23.005,27,252.956,63.504,0.492
116.514,220.156,283.391,388.199,24.697,27,255.537,64.08,0.416
121.427,215.243,315.847,355.743,25.239,19,250.604,64.524,0.433
131.954,204.716,320.172,351.418,24.431,46,256.194,64.148,0.404
115.889,220.781,345.897,325.693,23.94,37,255.848,60.158,0.469
111.259,225.411,339.481,332.109,23.174,1,254.638,61.567,0.479
117.748,218.922,343.049,328.541,22.964,16,253.319,64.413,0.229
113.828,222.842,348.513,323.077,23.623,23,246.952,65.088,0.452
137.265,199.405,318.277,353.313,22.178,21,252.2,68.738,0.405
133.557,203.113,341.749,329.841,23.137,23,253.371,67.679,0.362
128.228,208.442,286.792,384.798,24.447,25,252.339,65.884,0.377
135.489,201.181,315.845,355.745,22.326,41,250.504,63.835,0.343
133.421,203.249,283.867,387.723,21.002,4,250.573,65.062,0.252
114.601,222.069,352.171,319.419,23.33,5,251.842,65.376,0.347
136.132,200.538,355.497,316.093,22.264,28,251.237,63.355,0.212
125.36,211.31,288.019,383.571,23.231,1,254.958,63.767,0.233
133.536,203.134,322.641,348.949,25.23,28,256.749,64.942,0.259
136.24,200.43,306.631,364.959,25.219,44,249.727,63.082,0.388
118.61,218.06,307.973,363.617,23.918,3,252.477,64.787,0.203
112.268,224.402,316.32,355.27,24.838,17,253.145,64.39,0.332
115.863,220.807,291.193,380.397,26.854,31,253.657,68.866,0.49
121.937,214.733,295.491,376.099,23.631,25,251.403,66.21,0.306
133.859,202.811,326.094,345.496,22.594,19,250.189,71.705,0.465
135.161,201.509,282.989,388.601,24.971,27,254.105,62.065,0.341
109.123,227.547,327.825,343.765,23.27,1,252.456,65.964,0.224
124.488,212.182,306.151,365.439,22.428,36,256.197,64.973,0.446
121.641,215.029,345.758,325.832,23.639,17,253.92,61.069,0.3
115.685,220.985,327.841,343.749,24.571,38,252.72,64.206,0.427
112.567,224.103,336.181,335.409,24.526,45,247.338,65.238,0.4
119.208,217.462,290.371,381.219,21.993,21,250.175,64.688,0.245
137.668,199.002,302.057,369.533,24.626,24,252.554,67.065,0.485
118.768,217.902,358.449,313.141,21.882,35,252.884,64.382,0.296
124.733,211.937,315.004,356.586,22.127,2,259.131,70.424,0.317
130.352,206.318,309.233,362.357,25.943,42,253.155,64.627,0.322
120.001,216.669,348.972,322.618,21.505,7,253.79,61.434,0.393
138.548,198.122,284.094,387.496,20.513,2,252.807,64.062,0.423
138.263,198.407,322.807,348.783,24.636,26,253.143,66.006,0.437
116.59,220.08,297.766,373.824,23.13,36,250.602,62.619,0.203
124.076,212.594,309.95,361.64,23.432,30,252.052,63.505,0.367
118.087,218.583,296.958,374.632,26.155,1,247.748,68.888,0.414
117.598,219.072,284.461,387.129,25.546,23,251.291,63.682,0.297
110.036,226.634,313.682,357.908,25.355,38,252.699,68.985,0.37
127.501,209.169,342.44,329.15,24.041,17,258.039,65.686,0.356
124.242,212.428,354.998,316.592,24.744,29,253.84,62.998,0.283
110.481,226.189,329.681,341.909,23.298,16,253.806,62.223,0.216
117.409,219.261,311.546,360.044,23.118,4,250.585,66.191,0.399
136.611,200.059,340.947,330.643,23.992,3,252.099,65.45,0.266
116.217,220.453,320.527,351.063,24.88,0,254.557,62.743,0.337
113.33,223.34,309.909,361.681,26.25,42,250.593,67.317,0.334
123.838,212.832,295.361,376.229,25.555,15,252.583,64.214,0.478
138.971,197.699,342.974,328.616,24.974,27,256.95,63.915,0.406
116.293,220.377,320.157,351.433,23.832,35,252.347,63.298,0.263
129.41,207.26,355.913,315.677,23.62,46,254.286,65.215,0.303
132.139,204.531,343.42,328.17,24.331,42,249.034,65.283,0.218
116.159,220.511,313.952,357.638,24.256,3,252.107,67.697,0.356
131.12,205.55,338.709,332.881,22.448,3,250.896,67.074,0.419
120.128,216.542,316.527,355.063,23.454,19,255.445,62.27,0.248
128.195,208.475,287.705,383.885,24.041,44,255.055,62.852,0.347
128.232,208.438,321.411,350.179,24.933,28,254.33,65.896,0.366
125.251,211.419,348.345,323.245,23.907,30,253.941,61.969,0.499
111.665,225.005,347.551,324.039,26.791,5,256.627,66.681,0.359
134.386,202.284,325.909,345.681,23.115,4,247.607,64.411,0.321
118.694,217.976,310.866,360.724,24.354,1,258.729,67.18,0.233
114.6,222.07,282.321,389.269,23.821,37,252.008,67.994,0.231
110.155,226.515,305.572,366.018,24.601,46,261.096,64.837,0.264
126.932,209.738,357.919,313.671,24.013,40,251.948,69.013,0.407
129.575,207.095,337.601,333.989,23.552,33,255.021,62.871,0.227
109.417,227.253,336.914,334.676,24.807,28,256.7,65.382,0.308
124.529,212.141,340.27,331.32,22.814,43,253.092,66.259,0.348
115.819,220.851,329.392,342.198,22.094,13,248.549,64.151,0.335
128.587,208.083,326.749,344.841,25.392,17,251.424,62.473,0.384
114.229,222.441,316.545,355.045,24.032,19,252.667,67.863,0.323
129.983,206.687,315.798,355.792,26.185,20,249.107,62.344,0.336
120.706,215.964,348.74,322.85,24.011,40,251.267,65.441,0.324
137.479,199.191,311.903,359.687,21.895,39,251.614,64.221,0.396
113.105,223.565,346.382,325.208,24.613,24,250.567,62.998,0.334
119.313,217.357,346.185,325.405,21.401,10,254.935,65.794,0.297
112.372,224.298,341.027,330.563,21.669,31,253.713,66.869,0.269
137.112,199.558,284.447,387.143,24.03,16,253.534,67.616,0.45
135.668,201.002,292.96,378.63,24.294,7,254.468,65.647,0.342
116.778,219.892,305.826,365.764,24.194,24,255.117,69.086,0.291
129.039,207.631,346.941,324.649,22.898,4,252.737,67.728,0.412
133.834,202.836,348.926,322.664,22.849,8,249.346,66.219,0.26
125.843,210.827,284.749,386.841,27.911,22,251.118,64.602,0.457
125.064,211.606,306.599,364.991,22.363,15,250.066,67.687,0.258
116.287,220.383,347.161,324.429,22.835,12,251.555,68.942,0.364
111.751,224.919,300.809,370.781,26.105,10,251.836,62.337,0.472
136.274,200.396,356.854,314.736,22.834,9,255.477,65.958,0.484
136.372,200.298,319.299,352.291,23.623,47,254.545,63.206,0.398
128.219,208.451,353.869,317.721,24.062,39,254.605,65.965,0.246
119.251,217.419,314.632,356.958,23.501,34,243.867,64.503,0.372
119.561,217.109,306.528,365.062,25.666,12,252.851,63.2,0.366
131.051,205.619,309.507,362.083,25.468,43,249.511,67.313,0.341
136.271,200.399,349.778,321.812,25.128,45,254.919,64.879,0.338
135.965,200.705,307.059,364.531,26.111,6,254.175,66.573,0.366
132.695,203.975,333.191,338.399,23.831,38,243.955,66.077,0.405
128.492,208.178,317.797,353.793,25.842,35,254.432,61.837,0.23
111.477,225.193,354.205,317.385,24.682,14,252.046,67.153,0.454
113.841,222.829,293.839,377.751,22.684,26,257.684,64.967,0.451
136.315,200.355,314.619,356.971,24.716,20,249.525,66.125,0.213
127.406,209.264,291.159,380.431,23.365,45,255.076,66.185,0.228
109.192,227.478,326.153,345.437,21.813,42,255.479,66.953,0.22
112.006,224.664,312.631,358.959,21.814,30,249.125,64.305,0.249
129.146,207.524,286.244,385.346,22.603,43,258.039,67.214,0.312
109.066,227.604,347.119,324.471,26.265,7,248.551,61.684,0.243
113.816,222.854,310.518,361.072,20.054,41,250.769,65.358,0.359
125.646,211.024,319.632,351.958,23.615,22,254.516,61.989,0.459
130.012,206.658,312.987,358.603,24.789,25,252.443,62.294,0.251
128.794,207.876,319.248,352.342,23.789,6,254.055,67.303,0.303
115.751,220.919,282.802,388.788,23.497,41,252.385,67.679,0.37
130.631,206.039,344.466,327.124,22.829,35,250.353,61.41,0.47
116.147,220.523,307.184,364.406,26.14,9,255.924,64.383,0.462
118.835,217.835,337.444,334.146,23.345,23,249.451,65.086,0.275
131.677,204.993,286.549,385.041,22.22,36,254.629,65.227,0.285
128.723,207.947,321.962,349.628,23.284,4,254.349,60.594,0.346
134.81,201.86,351.668,319.922,24.387,17,252.707,65.855,0.36
128.967,207.703,312.272,359.318,22.887,40,248.216,69.432,0.352
126.243,210.427,296.763,374.827,24.598,1,251.147,63.418,0.381
111.768,224.902,289.187,382.403,23.938,31,253.689,64.415,0.257
120.126,216.544,347.832,323.758,24.534,12,257.318,65.514,0.433
116.999,219.671,299.969,371.621,26.035,29,257.361,62.58,0.311
116.352,220.318,356.782,314.808,21.413,0,256.357,62.236,0.476
138.585,198.085,300.665,370.925,23.394,37,253.057,64.404,0.374
120.9,215.77,318.657,352.933,22.713,37,255.233,66.371,0.202
136.116,200.554,316.883,354.707,22.949,25,254.529,65.41,0.232
128.159,208.511,286.327,385.263,24.175,12,252.745,66.161,0.336
133.151,203.519,322.581,349.009,23.973,35,256.054,64.01,0.288
124.24,212.43,333.446,338.144,21.539,41,252.45,65.465,0.46
126.505,210.165,338.808,332.782,22.255,36,250.885,61.994,0.47
123.932,212.738,321.867,349.723,25.608,36,252.941,63.447,0.221
114.866,221.804,344.244,327.346,22.018,36,251.655,62.81,0.218
130.944,205.726,339.577,332.013,24.998,22,250.678,65.12,0.33
117.474,219.196,296.51,375.08,21.201,10,251.742,65.895,0.281
109.653,227.017,312.531,359.059,21.639,18,248.208,66.503,0.474
128.596,208.074,292.544,379.046,24.744,3,253.669,65.79,0.415
114.313,222.357,291.837,379.753,26.165,45,255.205,65.995,0.49
137.593,199.077,336.492,335.098,25.397,19,253.73,65.696,0.371
138.004,198.666,322.474,349.116,23.242,10,255.27,66.59,0.267
136.812,199.858,327.914,343.676,22.91,16,250.932,65.203,0.32
120.2,216.47,338.04,333.55,24.617,18,248.774,64.31,0.26
109.383,227.287,302.935,368.655,21.634,36,249.364,64.127,0.468
137.223,199.447,312.513,359.077,24.642,39,252.167,66.275,0.251
121.97,214.7,328.365,343.225,23.192,12,253.671,64.935,0.201
138.392,198.278,288.998,382.592,26.356,0,252.782,65.092,0.378
138.299,198.371,345.824,325.766,24.43,7,253.531,64.172,0.392
134.926,201.744,308.044,363.546,23.747,38,253.325,62.858,0.306
117.891,218.779,332.374,339.216,24.329,36,252.504,64.738,0.435
120.656,216.014,358.364,313.226,23.478,11,250.884,65.659,0.496
134.869,201.801,318.223,353.367,24.718,45,249.699,66.023,0.435
118.577,218.093,298.136,373.454,22.719,19,249.846,65.127,0.291
114.08,222.59,298.243,373.347,25.557,40,257.113,63.206,0.208
125.892,210.778,286.201,385.389,23.474,37,256.543,62.73,0.495
137.461,199.209,340.733,330.857,25.206,8,253.311,62.357,0.358
130.138,206.532,304.184,367.406,25.109,17,257.378,59.825,0.287
126.297,210.373,294.87,376.72,24.22,27,253.302,64.586,0.294
111.875,224.795,336.613,334.977,25.003,41,258.537,64.336,0.269
127.667,209.003,305.396,366.194,23.356,40,254.897,65.169,0.274
139.105,197.565,327.876,343.714,24.934,31,254.961,67.132,0.423
113.184,223.486,313.783,357.807,21.676,1,257.352,63.98,0.465
124.719,211.951,307.326,364.264,22.47,30,254.94,60.262,0.489
135.669,201.001,319.308,352.282,23.739,28,255.29,61.969,0.296
131.503,205.167,305.755,365.835,21.256,11,254.063,63.936,0.21
130.168,206.502,348.718,322.872,24.127,20,255.663,65.667,0.312
130.335,206.335,287.178,384.412,27.075,14,254.412,64.619,0.427
119.875,216.795,283.869,387.721,22.968,14,255.407,67.055,0.214
117.865,218.805,312.901,358.689,24.065,9,252.11,67.809,0.289
133.595,203.075,294.879,376.711,22.61,44,248.46,61.422,0.336
133.618,203.052,338.931,332.659,25.566,36,253.36,66.084,0.236
135.355,201.315,308.814,362.776,23.677,25,251.098,65.902,0.265
136.763,199.907,301.716,369.874,23.98,37,254.355,64.949,0.268
124.506,212.164,309.273,362.317,23.694,11,251.803,65.172,0.261
124.206,212.464,298.478,373.112,23.625,34,249.746,63.261,0.223
133.257,203.413,304.664,366.926,22.217,18,250.641,66.395,0.471
128.733,207.937,325.37,346.22,24.261,47,252.293,63.727,0.206
130.319,206.351,348.214,323.376,23.623,8,255.834,64.284,0.365
133.181,203.489,310.16,361.43,21.843,23,255.117,67.637,0.282
136.054,200.616,306.286,365.304,21.334,45,253.437,66.97,0.385
119.219,217.451,341.868,329.722,23.757,43,247.826,62.232,0.413
120.366,216.304,283.273,388.317,23.561,25,256.011,62.378,0.395
111.778,224.892,304.851,366.739,22.089,31,255.406,65.401,0.461
126.547,210.123,316.433,355.157,25.2,18,253.239,64.558,0.453
110.008,226.662,327.891,343.699,23.243,20,253.558,68.809,0.217
123.111,213.559,293.584,378.006,24.808,3,254.945,63.651,0.275
125.461,211.209,314.943,356.647,22.782,47,258.267,63.804,0.313
117.65,219.02,325.24,346.35,23.455,13,255.06,68.306,0.363
126.93,209.74,320.915,350.675,23.121,13,249.602,61.996,0.5
109.842,226.828,325.877,345.713,23.445,38,255.593,65.74,0.313
110.05,226.62,332.655,338.935,24.324,0,257.056,67.936,0.247
133.998,202.672,310.816,360.774,23.603,43,253.44,64.426,0.369
119.896,216.774,286.452,385.138,24.906,13,256.83,62.18,0.418
112.786,223.884,285.829,385.761,22.318,36,251.921,64.535,0.206
124.838,211.832,347.804,323.786,22.948,0,254.758,68.954,0.306
132.394,204.276,333.814,337.776,24.491,34,256.351,63.643,0.241
115.493,221.177,340.509,331.081,25.304,45,253.189,64.935,0.472
127.908,208.762,353.212,318.378,24.126,21,248.591,64.158,0.373
111.514,225.156,339.457,332.133,25.079,16,253.313,63.427,0.294
110.488,226.182,334.963,336.627,22.708,31,250.104,61.691,0.208
125.116,211.554,332.143,339.447,23.295,33,255.017,67.358,0.222
125.399,211.271,301.495,370.095,24.83,37,254.107,69.826,0.392
128.351,208.319,355.41,316.18,23.474,36,255.447,66.913,0.203
131.055,205.615,323.368,348.222,23.336,45,249.739,64.581,0.392
138.672,197.998,298.678,372.912,23.444,10,251.322,64.208,0.385
124.657,212.013,297.733,373.857,22.246,46,254.735,66.465,0.399
118.761,217.909,344.451,327.139,22.475,30,253.034,65.169,0.325
133.162,203.508,300.849,370.741,23,25,253.266,65.093,0.329
117.171,219.499,284.739,386.851,26.071,41,256.434,63.942,0.33
122.299,214.371,314.6,356.99,23.385,47,254.64,63.801,0.269
111.304,225.366,344.612,326.978,23.488,0,252.484,67.857,0.286
109.685,226.985,313.522,358.068,24.964,32,250.808,66.876,0.332
138.269,198.401,343.547,328.043,23.991,36,252.023,59.359,0.31
134.406,202.264,345.373,326.217,23.303,39,255.393,64.589,0.395
130.137,206.533,347.726,323.864,23.872,33,256.628,63.491,0.264
121.383,215.287,326.984,344.606,22.683,5,249.995,67.381,0.245
114.196,222.474,335.516,336.074,22.262,36,250.949,65.281,0.407
113.682,222.988,301.748,369.842,25.399,6,262.45,65.3,0.429
116.543,220.127,289.235,382.355,24.455,0,256.544,63.663,0.329
125.661,211.009,322.653,348.937,21.191,19,250.737,65.152,0.328
130.705,205.965,282.359,389.231,25.159,36,256.757,67.508,0.465
129.046,207.624,317.48,354.11,23.694,10,250.349,62.266,0.205
117.449,219.221,289.42,382.17,23.621,4,251.061,66.519,0.475
138.032,198.638,289.908,381.682,25.339,22,248.801,66.541,0.406
131.415,205.255,348.735,322.855,22.574,28,255.184,64.858,0.449
125.818,210.852,330.967,340.623,24.079,27,248.443,62.527,0.431
127.567,209.103,331.331,340.259,26.076,5,252.83,64.26,0.299
121.708,214.962,312.753,358.837,23.573,45,255.996,66.429,0.493
116.467,220.203,313.43,358.16,23.388,47,252.998,62.654,0.394
119.768,216.902,304.931,366.659,26.384,34,253.26,63.254,0.408
132.024,204.646,315.059,356.531,23.212,17,255.102,66.662,0.386
109.35,227.32,326.847,344.743,25.001,1,253.881,62.176,0.432
112.451,224.219,295.94,375.65,22.142,16,255.376,65.963,0.357
110.314,226.356,301.734,369.856,25.15,28,254.422,66.497,0.368
110.154,226.516,319.719,351.871,23.197,1,252.364,68.32,0.464
135.001,201.669,311.233,360.357,25.323,31,252.782,65.954,0.337
130.371,206.299,344.777,326.813,23.203,32,253.031,63.524,0.417
123.372,213.298,344.946,326.644,24.76,16,251.41,62.939,0.244
111.895,224.775,307.468,364.122,21.208,4,251.779,63.945,0.459
123.904,212.766,316.327,355.263,23.84,40,258.024,63.454,0.41
123.351,213.319,356.899,314.691,24.115,30,248.91,64.311,0.405
114.194,222.476,345.393,326.197,22.568,9,252.318,65.495,0.296
122.143,214.527,298.183,373.407,24.051,12,248.803,65.906,0.454
121.065,215.605,303.166,368.424,27.875,3,256.695,66.877,0.337
127.693,208.977,287.984,383.606,22.524,25,252.002,64.078,0.478
128.28,208.39,333.845,337.745,24.657,3,254.243,67.14,0.424
110.293,226.377,305.995,365.595,23.143,20,251.664,64.103,0.242
120.336,216.334,322.948,348.642,25.748,24,254.249,66.68,0.256
127.998,208.672,340.815,330.775,24.384,16,254.965,64.03,0.263
124.256,212.414,346.054,325.536,23.275,38,252.34,66.662,0.46
135.032,201.638,306.648,364.942,24.183,43,256.22,66.271,0.345
129,207.67,299.849,371.741,26.455,36,247.352,63.745,0.276
113.88,222.79,347.018,324.572,23.307,31,253.365,64.402,0.342
111.064,225.606,310.962,360.628,25.293,14,251.55,64.445,0.331
128.503,208.167,344.971,326.619,22.445,32,250.207,65.316,0.404
109.72,226.95,293.098,378.492,24.601,44,252.647,68.399,0.257
126.776,209.894,351.908,319.682,23.863,1,254.572,65.975,0.223
137.586,199.084,318.822,352.768,25.73,29,251.531,67.878,0.438
126.462,210.208,294.67,376.92,23.921,5,258.223,61.917,0.467
120.749,215.921,322.83,348.76,25.846,33,252.539,62.995,0.216
128.53,208.14,348.676,322.914,22.834,15,247.939,67.827,0.345
122.887,213.783,311.584,360.006,22.263,47,254.232,66.341,0.378
125.551,211.119,295.282,376.308,22.599,20,253.041,64.744,0.404
137.623,199.047,326.031,345.559,24.678,41,251.515,66.63,0.203
120.686,215.984,345.933,325.657,22.434,42,252.668,65.917,0.446
138.225,198.445,290.906,380.684,20.774,2,249.422,65.196,0.375
136.522,200.148,284.737,386.853,23.508,38,255.364,65.593,0.277
114.882,221.788,285.886,385.704,24.234,38,256.247,64.981,0.361
111.027,225.643,299.327,372.263,23.347,4,253.858,62.792,0.427
111.985,224.685,282.105,389.485,22.361,9,252.629,66.453,0.249
109.467,227.203,314.62,356.97,25.691,27,251.739,68.512,0.396
111.792,224.878,335.383,336.207,25.175,12,251.889,63.319,0.363
129.741,206.929,336.364,335.226,24.493,22,249.642,67.05,0.469
111.082,225.588,330.673,340.917,25.886,1,255.118,65.283,0.465
118.639,218.031,304.398,367.192,22.693,30,252.755,64.065,0.422
134.678,201.992,338.33,333.26,23.694,15,251.009,65.922,0.37
109.621,227.049,326.026,345.564,25.697,0,251.857,63.265,0.318
133.75,202.92,347.994,323.596,24.234,18,254.045,66.254,0.339
117.507,219.163,318.427,353.163,26.467,20,251.555,64.576,0.229
112.515,224.155,295.443,376.147,21.462,8,254.458,69.699,0.468
130.16,206.51,330.514,341.076,21.364,26,252.891,64.778,0.383
128.092,208.578,293.177,378.413,23.281,26,254.076,63.404,0.352
135.672,200.998,355.862,315.728,24.846,9,252.85,65.072,0.248
131.329,205.341,335.81,335.78,25.031,46,255.794,63.94,0.208
133.415,203.255,339.903,331.687,23.654,45,253.787,60.206,0.463
117.513,219.157,333.957,337.633,25.496,9,249.435,64.142,0.218
114.323,222.347,289.07,382.52,24.603,33,256.512,64.958,0.382
131.803,204.867,317.446,354.144,24.095,2,252.562,64.745,0.203
133.518,203.152,331.808,339.782,25.929,25,248.733,65.704,0.392
139.119,197.551,299.24,372.35,24.095,46,259.093,66.909,0.334
121.495,215.175,333.975,337.615,22.946,47,252.697,66.744,0.322
120.257,216.413,344.807,326.783,23.684,16,255.086,64.361,0.467
132.59,204.08,302.757,368.833,22.52,15,250.035,66.215,0.476
119.305,217.365,296.944,374.646,23.714,3,253.01,64.059,0.295
137.297,199.373,349.69,321.9,22.814,36,255.712,64.003,0.347
135.091,201.579,281.943,389.647,22.067,31,255.91,64.987,0.288
121.995,214.675,301.276,370.314,23.306,31,256.262,65.359,0.212
131.811,204.859,312.927,358.663,21.818,17,251.324,64.986,0.455
131.923,204.747,333.416,338.174,25.086,0,254.227,65.872,0.411
112.056,224.614,358.479,313.111,24.923,27,249.824,65.995,0.471
136.437,200.233,310.156,361.434,25.474,32,249.53,62.925,0.427
124.32,212.35,354.756,316.834,23.229,21,252.717,64.095,0.469
134.116,202.554,309.844,361.746,24.657,14,251.82,65.022,0.492
118.672,217.998,335.212,336.378,22.345,41,252.748,65.289,0.271
136.222,200.448,294.302,377.288,23.172,29,252.265,65.196,0.307
120.781,215.889,317.069,354.521,25.486,38,251.418,67.74,0.494
109.242,227.428,348.773,322.817,25.703,7,253.658,61.097,0.288
136.523,200.147,306.234,365.356,24.179,40,255.49,65.004,0.483
