sample number,cpu_time,runtime,k,fluxQ1,fluxQ2,fluxQ3,fluxQ4,k_uncert,flux_runcertQ1,flux_runcertQ2,flux_runcertQ3,flux_runcertQ4,fissQ1,fissQ2,fissQ3,fissQ4,fissEQ1,fissEQ2,fissEQ3,fissEQ4,fiss_runcertQ1,fiss_runcertQ2,fiss_runcertQ3,fiss_runcertQ4,fissE_runcertQ1,fissE_runcertQ2,fissE_runcertQ3,fissE_runcertQ4,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
sample_00017,2.57E+03,1.29E+02,0.984789,2.55E+19,2.61E+19,2.66E+19,2.60E+19,0.00023,0.0013,0.00132,0.00138,0.0014,8.49E+16,8.49E+16,8.48E+16,8.49E+16,2750680,2751090,2748820,2750980,0.00084,0.00081,0.00081,0.00079,0.00084,0.00081,0.00081,0.00079,4.40183101,4.13004042,1.92418563,6.12183177,2.56027831,2.841573,2.97899653,0.843612851
sample_00018,2.56E+03,1.30E+02,0.976673,2.58E+19,2.58E+19,2.60E+19,2.56E+19,0.00024,0.00134,0.00135,0.00134,0.00134,8.48E+16,8.48E+16,8.50E+16,8.48E+16,2748760,2748060,2753350,2748990,0.00083,0.00081,0.0008,0.00081,0.00083,0.00081,0.0008,0.00081,2.8158523,2.53058812,0.298615265,5.52376951,4.53512577,0.923024212,3.41847768,2.81615587
sample_00019,2.58E+03,1.30E+02,0.998283,2.53E+19,2.52E+19,2.59E+19,2.51E+19,0.00025,0.00175,0.00172,0.00168,0.00175,8.48E+16,8.50E+16,8.47E+16,8.48E+16,2749220,2753410,2745090,2748380,0.00079,0.00074,0.0008,0.0008,0.00079,0.00074,0.0008,0.0008,0.789289847,5.62612734,3.73056968,3.93021113,3.76010567,4.71254307,1.96260986,5.50004709
sample_00020,2.58E+03,1.30E+02,0.994404,2.54E+19,2.56E+19,2.53E+19,2.62E+19,0.00024,0.00133,0.00134,0.00138,0.00134,8.48E+16,8.49E+16,8.48E+16,8.49E+16,2747370,2753190,2746940,2753130,0.00083,0.00081,0.00082,0.00076,0.00083,0.00081,0.00082,0.00076,1.41739235,4.46617748,1.82013934,4.37755043,0.969107945,4.96125778,5.87826526,4.97923005
sample_00021,2.56E+03,1.29E+02,0.982983,2.54E+19,2.57E+19,2.61E+19,2.53E+19,0.00025,0.0014,0.00137,0.00142,0.00143,8.48E+16,8.50E+16,8.49E+16,8.48E+16,2747330,2753540,2751040,2749750,0.00076,0.00081,0.00078,0.00079,0.00076,0.00081,0.00078,0.00079,3.54451296,2.2523817,3.39375751,6.07213435,3.52331063,2.14047563,2.3899114,3.93531388
sample_00022,2.58E+03,1.30E+02,0.983914,2.53E+19,2.54E+19,2.67E+19,2.62E+19,0.00024,0.00147,0.00143,0.0015,0.00147,8.49E+16,8.48E+16,8.49E+16,8.49E+16,2751450,2748180,2752520,2751790,0.00081,0.00081,0.00084,0.00079,0.00081,0.00081,0.00084,0.00079,3.45233847,5.15183915,5.97986793,6.26019483,4.71769593,3.18976336,6.10564875,2.10897476
sample_00023,2.58E+03,1.29E+02,0.991971,2.63E+19,2.57E+19,2.49E+19,2.55E+19,0.00024,0.00115,0.00109,0.00102,0.00108,8.50E+16,8.48E+16,8.47E+16,8.48E+16,2753420,2749570,2746380,2749980,0.00081,0.0008,0.00079,0.00081,0.00081,0.0008,0.00079,0.00081,5.62616049,0.31383299,4.08722911,3.26327198,0.018754622,1.97744025,4.06720113,4.42837988
sample_00024,2.58E+03,1.30E+02,0.998817,2.61E+19,2.53E+19,2.51E+19,2.58E+19,0.00025,0.00129,0.00124,0.00121,0.00129,8.48E+16,8.48E+16,8.47E+16,8.49E+16,2749910,2749930,2744620,2751140,0.00077,0.00078,0.00079,0.00076,0.00077,0.00078,0.00079,0.00076,6.10434152,0.35300641,3.63128745,1.70484678,0.133365015,4.38689716,6.02667706,0.79249844
sample_00025,2.60E+03,1.30E+02,1.00068,2.53E+19,2.57E+19,2.59E+19,2.56E+19,0.00024,0.00138,0.00138,0.0014,0.00135,8.48E+16,8.49E+16,8.49E+16,8.48E+16,2748160,2752320,2750080,2749740,0.00081,0.00079,0.00082,0.00075,0.00081,0.00079,0.00082,0.00075,4.47353577,1.40572922,1.12974283,1.94393872,2.57803422,4.8024553,0.356568977,5.79449523
sample_00026,2.58E+03,1.30E+02,0.991472,2.48E+19,2.57E+19,2.48E+19,2.59E+19,0.00025,0.00151,0.00151,0.00149,0.0016,8.48E+16,8.46E+16,8.50E+16,8.49E+16,2747350,2743030,2753260,2750670,0.00081,0.00087,0.00079,0.00079,0.00081,0.00087,0.00079,0.00079,4.08348654,2.89482642,1.33658826,3.55211018,5.73524175,1.37787434,5.50278265,0.590489638
sample_00027,2.59E+03,1.30E+02,1.00243,2.64E+19,2.57E+19,2.46E+19,2.56E+19,0.00024,0.00136,0.0014,0.00139,0.0014,8.48E+16,8.47E+16,8.49E+16,8.49E+16,2747990,2745890,2751010,2751800,0.00078,0.00079,0.0008,0.00078,0.00078,0.00079,0.0008,0.00078,0.506057701,0.781199353,3.03809302,3.28367651,6.13071278,1.91211263,4.31893938,5.27844571
sample_00028,2.58E+03,1.30E+02,0.994537,2.58E+19,2.52E+19,2.55E+19,2.59E+19,0.00024,0.00131,0.00124,0.00122,0.00127,8.48E+16,8.48E+16,8.48E+16,8.48E+16,2748830,2747550,2748590,2747600,0.00081,0.00076,0.00077,0.00079,0.00081,0.00076,0.00077,0.00079,0.077820005,5.84369075,3.51369769,5.10078899,4.34494878,2.46973581,6.08748642,0.993627788
sample_00029,2.56E+03,1.29E+02,0.98203,2.49E+19,2.49E+19,2.55E+19,2.55E+19,0.00025,0.0011,0.00114,0.00117,0.00114,8.48E+16,8.49E+16,8.49E+16,8.48E+16,2749220,2751650,2752470,2749960,0.0008,0.00076,0.00078,0.00074,0.0008,0.00076,0.00078,0.00074,2.05914539,3.71268576,0.158717624,6.01763077,3.95467952,1.13871147,5.81426919,2.12392021
sample_00030,2.58E+03,1.30E+02,0.993569,2.52E+19,2.65E+19,2.66E+19,2.53E+19,0.00025,0.00151,0.00148,0.00154,0.00154,8.49E+16,8.47E+16,8.49E+16,8.48E+16,2751410,2744400,2750320,2747520,0.0008,0.00081,0.00076,0.00077,0.0008,0.00081,0.00076,0.00077,2.71192576,5.04086779,2.94123622,1.8966186,3.28929652,5.38122594,2.16909021,0.927527368
sample_00031,2.58E+03,1.30E+02,1.00004,2.62E+19,2.68E+19,2.57E+19,2.54E+19,0.00025,0.00156,0.00151,0.00146,0.00147,8.48E+16,8.48E+16,8.49E+16,8.49E+16,2749430,2749120,2750540,2750400,0.0008,0.00081,0.00075,0.0008,0.0008,0.00081,0.00075,0.0008,5.29920918,0.477553349,1.7800869,2.99400776,2.36472098,2.70765933,2.90067874,0.559590977
sample_00032,2.56E+03,1.29E+02,0.987236,2.52E+19,2.55E+19,2.66E+19,2.57E+19,0.00026,0.00142,0.00147,0.00148,0.00143,8.49E+16,8.49E+16,8.48E+16,8.49E+16,2750380,2752640,2748640,2750940,0.00082,0.00076,0.00081,0.00077,0.00082,0.00076,0.00081,0.00077,2.72277623,3.25712675,4.37121983,0.733591891,3.72798364,5.42781012,2.10240319,5.12818184
sample_00033,2.58E+03,1.30E+02,0.990443,2.63E+19,2.50E+19,2.49E+19,2.52E+19,0.00024,0.0014,0.00136,0.00145,0.00142,8.47E+16,8.48E+16,8.49E+16,8.50E+16,2746590,2748910,2750870,2754130,0.00081,0.00076,0.00077,0.0008,0.00081,0.00076,0.00077,0.0008,0.683912854,1.76910702,0.037133386,4.65753476,2.35998316,2.08824679,3.2266451,4.37153701
sample_00034,2.59E+03,1.30E+02,0.995443,2.53E+19,2.58E+19,2.70E+19,2.55E+19,0.00024,0.00129,0.00134,0.00132,0.00129,8.49E+16,8.49E+16,8.49E+16,8.48E+16,2752590,2751950,2751180,2749340,0.0008,0.00079,0.0008,0.00076,0.0008,0.00079,0.0008,0.00076,4.23079847,1.77279307,1.03869376,1.10040582,3.40238923,4.06857324,4.26844433,2.07918475
sample_00035,2.58E+03,1.29E+02,0.992548,2.64E+19,2.55E+19,2.64E+19,2.55E+19,0.00025,0.00156,0.00151,0.00157,0.00158,8.48E+16,8.50E+16,8.49E+16,8.49E+16,2748760,2753410,2753080,2750200,0.00076,0.00079,0.0008,0.00082,0.00076,0.00079,0.0008,0.00082,5.37743826,1.00485663,0.354053704,5.05634236,3.996501,5.0009617,2.11445235,4.49541164
sample_00036,2.57E+03,1.29E+02,0.986299,2.56E+19,2.54E+19,2.64E+19,2.66E+19,0.00024,0.00155,0.00154,0.00166,0.00163,8.48E+16,8.49E+16,8.48E+16,8.48E+16,2747440,2751900,2749040,2749650,0.00077,0.00077,0.0008,0.00078,0.00077,0.00077,0.0008,0.00077,5.03272554,3.91002299,4.18314997,5.03754822,1.48854769,3.5861179,0.256950194,0.647309153
sample_00037,2.59E+03,1.30E+02,0.999467,2.47E+19,2.60E+19,2.61E+19,2.54E+19,0.00024,0.00142,0.00146,0.00143,0.00137,8.48E+16,8.49E+16,8.48E+16,8.49E+16,2749090,2751250,2749140,2750890,0.00079,0.00077,0.00075,0.00082,0.00079,0.00077,0.00075,0.00082,4.75454271,3.02770057,2.0748337,3.64398558,3.88052217,3.38931047,4.99957508,1.42943575
sample_00038,2.57E+03,1.29E+02,0.987607,2.56E+19,2.62E+19,2.60E+19,2.56E+19,0.00025,0.00145,0.00151,0.00149,0.00149,8.48E+16,8.48E+16,8.48E+16,8.48E+16,2748480,2748640,2749120,2749720,0.00084,0.00076,0.00079,0.00078,0.00084,0.00076,0.00079,0.00078,2.51802455,5.65125117,1.61674984,4.54122312,1.86094522,5.15189955,0.302755085,1.99191637
sample_00039,2.57E+03,1.29E+02,0.983802,2.55E+19,2.69E+19,2.52E+19,2.52E+19,0.00026,0.00164,0.00166,0.00166,0.00164,8.49E+16,8.49E+16,8.48E+16,8.49E+16,2750830,2752090,2749580,2751690,0.00082,0.00079,0.00084,0.00082,0.00082,0.00079,0.00084,0.00082,4.33175239,3.00393889,1.85882993,3.74501891,0.322651889,0.526892004,3.50441814,3.73775586
sample_00040,2.58E+03,1.30E+02,0.993216,2.73E+19,2.63E+19,2.56E+19,2.56E+19,0.00024,0.00151,0.00151,0.00151,0.00151,8.50E+16,8.49E+16,8.48E+16,8.49E+16,2753360,2751590,2747300,2751000,0.00081,0.00078,0.00078,0.00082,0.00081,0.00078,0.00078,0.00082,0.345609278,1.66662987,2.17397466,5.45559614,3.15868771,0.890389348,2.88926155,3.93964619
sample_00041,2.58E+03,1.30E+02,0.989969,2.48E+19,2.53E+19,2.51E+19,2.61E+19,0.00023,0.0017,0.00171,0.00161,0.00166,8.48E+16,8.48E+16,8.48E+16,8.49E+16,2747680,2748270,2749580,2753210,0.00081,0.00081,0.00082,0.0008,0.00081,0.00081,0.00082,0.0008,4.20590173,4.06671413,3.69893155,1.88416813,0.77165267,5.4458408,4.55652356,0.085381882
sample_00042,2.58E+03,1.29E+02,0.9908,2.56E+19,2.57E+19,2.58E+19,2.60E+19,0.00023,0.00154,0.00162,0.00157,0.00152,8.50E+16,8.48E+16,8.48E+16,8.48E+16,2754370,2747380,2749770,2749970,0.00082,0.00082,0.00085,0.00076,0.00082,0.00082,0.00085,0.00076,5.54854752,2.77776484,4.69595561,3.25269557,4.50527749,2.12557735,4.79468132,1.46168521
sample_00043,2.57E+03,1.29E+02,0.988169,2.58E+19,2.60E+19,2.59E+19,2.54E+19,0.00025,0.00132,0.00129,0.00135,0.00134,8.49E+16,8.48E+16,8.49E+16,8.49E+16,2751060,2747070,2750210,2750280,0.00078,0.00076,0.00079,0.0008,0.00078,0.00076,0.00079,0.0008,1.63558885,5.69861951,0.164322281,1.76372176,3.65699268,1.56479306,1.21587463,1.54731563
sample_00044,2.58E+03,1.30E+02,0.996907,2.46E+19,2.50E+19,2.64E+19,2.61E+19,0.00025,0.00157,0.00156,0.00161,0.00163,8.48E+16,8.49E+16,8.49E+16,8.48E+16,2748790,2752420,2751000,2747380,0.00079,0.00081,0.00077,0.00081,0.00079,0.00081,0.00077,0.00081,3.7317515,3.08479431,1.31504433,5.42248618,3.60338695,3.62436416,5.69297667,5.18223672
sample_00045,2.57E+03,1.29E+02,0.985068,2.52E+19,2.58E+19,2.50E+19,2.55E+19,0.00026,0.00162,0.00163,0.00156,0.00162,8.49E+16,8.49E+16,8.48E+16,8.47E+16,2750200,2751770,2749350,2744850,0.00083,0.00081,0.00082,0.00082,0.00083,0.00081,0.00082,0.00082,4.90597773,4.50978289,2.86258429,1.35286566,1.48397489,0.884787939,3.08594683,5.49505449
sample_00046,2.59E+03,1.30E+02,0.993742,2.55E+19,2.51E+19,2.48E+19,2.52E+19,0.00024,0.0016,0.00157,0.00163,0.00166,8.49E+16,8.49E+16,8.48E+16,8.48E+16,2750530,2752370,2746840,2747220,0.0008,0.00076,0.00079,0.0008,0.0008,0.00076,0.00079,0.0008,0.314424531,5.9850282,2.50207125,0.878957382,1.09561045,5.12736778,6.06501309,1.26415608
sample_00047,2.56E+03,1.29E+02,0.986957,2.57E+19,2.57E+19,2.57E+19,2.58E+19,0.00024,0.00179,0.00182,0.0018,0.00177,8.48E+16,8.48E+16,8.48E+16,8.49E+16,2749780,2748070,2747980,2751160,0.00081,0.00077,0.00078,0.00082,0.00081,0.00077,0.00078,0.00082,2.9450751,0.461097856,0.784883229,0.956835618,5.0555604,2.2870799,3.51920685,0.776930499
sample_00048,2.58E+03,1.30E+02,0.991898,2.50E+19,2.56E+19,2.63E+19,2.52E+19,0.00023,0.00138,0.00143,0.0015,0.00142,8.48E+16,8.49E+16,8.48E+16,8.48E+16,2748860,2751670,2748690,2747420,0.00083,0.00081,0.0008,0.0008,0.00083,0.00081,0.0008,0.0008,1.811931,3.16128369,6.07444747,2.31093569,3.6897749,5.22046413,4.32823108,2.61372276
sample_00049,2.58E+03,1.30E+02,0.995621,2.49E+19,2.59E+19,2.61E+19,2.55E+19,0.00026,0.00134,0.00138,0.00135,0.00135,8.48E+16,8.48E+16,8.49E+16,8.48E+16,2749380,2749580,2752340,2749680,0.00078,0.00078,0.00081,0.00079,0.00078,0.00078,0.00081,0.00079,2.03623942,3.5146514,0.697390871,3.25651419,4.25039969,4.9208637,5.48640028,3.89191505
sample_00050,2.57E+03,1.29E+02,0.989934,2.45E+19,2.53E+19,2.65E+19,2.48E+19,0.00024,0.00155,0.0016,0.00164,0.00156,8.48E+16,8.49E+16,8.48E+16,8.48E+16,2746780,2750350,2747840,2749040,0.00075,0.00079,0.00077,0.00082,0.00075,0.00079,0.00077,0.00082,2.51516696,3.93495338,2.34543174,0.364791007,3.82472655,3.9722118,3.53978921,3.48750069
sample_00051,2.57E+03,1.29E+02,0.98926,2.67E+19,2.61E+19,2.53E+19,2.63E+19,0.00025,0.00159,0.00162,0.00161,0.00161,8.49E+16,8.48E+16,8.48E+16,8.49E+16,2751560,2748850,2748730,2751000,0.00079,0.00081,0.00081,0.00076,0.00079,0.00081,0.00081,0.00076,1.48423397,1.89904467,0.979533185,4.43408605,6.15015182,0.441164486,1.14323086,5.26101475
sample_00052,2.58E+03,1.30E+02,0.991949,2.63E+19,2.61E+19,2.61E+19,2.55E+19,0.00025,0.00138,0.00135,0.00128,0.0013,8.49E+16,8.48E+16,8.49E+16,8.48E+16,2750320,2748540,2751640,2748330,0.0008,0.00078,0.00077,0.00078,0.0008,0.00078,0.00077,0.00078,1.79378331,0.751127704,2.75661463,4.92205713,2.1816156,5.04707913,0.475809594,2.15472564
sample_00053,2.58E+03,1.30E+02,0.991965,2.46E+19,2.48E+19,2.61E+19,2.52E+19,0.00024,0.00129,0.00132,0.00136,0.00129,8.49E+16,8.49E+16,8.48E+16,8.49E+16,2750360,2751050,2747830,2752380,0.00084,0.0008,0.00082,0.00083,0.00084,0.0008,0.00082,0.00083,4.49440001,5.69417018,6.17513585,4.31074993,3.3146787,4.83710969,3.09009232,0.097506074
sample_00054,2.57E+03,1.29E+02,0.988564,2.50E+19,2.57E+19,2.64E+19,2.53E+19,0.00023,0.0016,0.00154,0.00149,0.00152,8.48E+16,8.48E+16,8.48E+16,8.48E+16,2749470,2748680,2749030,2749970,0.00081,0.00083,0.00078,0.00079,0.00081,0.00083,0.00078,0.00079,2.86545764,5.1909905,4.67609897,3.24932722,3.88805511,5.45446251,0.184026549,2.48005439
sample_00055,2.59E+03,1.30E+02,0.988365,2.54E+19,2.53E+19,2.59E+19,2.54E+19,0.00024,0.00157,0.00158,0.0016,0.00161,8.49E+16,8.49E+16,8.49E+16,8.49E+16,2750180,2751890,2750090,2750890,0.00081,0.00076,0.00077,0.00082,0.00081,0.00076,0.00077,0.00082,2.58989345,0.970957151,5.49582301,1.32069832,4.68416882,5.17829065,3.8362574,1.50537513
sample_00056,2.58E+03,1.30E+02,0.994162,2.48E+19,2.50E+19,2.60E+19,2.67E+19,0.00025,0.00136,0.00135,0.00137,0.0014,8.47E+16,8.49E+16,8.49E+16,8.48E+16,2745250,2752390,2750990,2749140,0.0008,0.00075,0.00083,0.00078,0.0008,0.00075,0.00083,0.00078,3.34464248,3.54671843,3.24806491,5.58116795,3.46129036,5.66417291,5.09582973,5.78072624
sample_00057,2.58E+03,1.30E+02,0.99433,2.63E+19,2.59E+19,2.50E+19,2.52E+19,0.00025,0.00126,0.00127,0.00119,0.00121,8.49E+16,8.47E+16,8.48E+16,8.48E+16,2750740,2745300,2749360,2748990,0.00077,0.0008,0.00083,0.00082,0.00077,0.0008,0.00083,0.00082,0.603262849,1.92297245,3.10124425,1.72718466,5.55658818,2.04041076,4.543842,3.07023683
sample_00058,2.57E+03,1.29E+02,0.987648,2.51E+19,2.51E+19,2.58E+19,2.60E+19,0.00025,0.00123,0.00124,0.00127,0.00123,8.48E+16,8.48E+16,8.49E+16,8.49E+16,2748770,2749890,2751360,2752400,0.00079,0.00078,0.00077,0.00077,0.00079,0.00078,0.00077,0.00077,4.58151332,2.61419879,5.36160888,4.31576212,3.93161529,2.13634036,5.10215877,1.31545298
sample_00059,2.56E+03,1.29E+02,0.98284,2.58E+19,2.63E+19,2.58E+19,2.60E+19,0.00023,0.00141,0.00137,0.00139,0.0014,8.49E+16,8.48E+16,8.48E+16,8.49E+16,2752700,2747970,2749500,2752810,0.00077,0.0008,0.00081,0.00079,0.00077,0.0008,0.00081,0.00079,3.53942818,2.32207452,3.78581185,1.71512357,0.888137969,5.87567568,4.37958013,3.67147701
sample_00060,2.56E+03,1.29E+02,0.982613,2.60E+19,2.63E+19,2.56E+19,2.52E+19,0.00025,0.00142,0.0015,0.00153,0.00145,8.49E+16,8.51E+16,8.48E+16,8.47E+16,2750200,2756570,2749970,2744650,0.00079,0.00081,0.0008,0.00077,0.00079,0.00081,0.0008,0.00077,2.69954804,0.527457894,4.4345922,2.75544126,5.57111374,1.79848861,2.08226522,2.62015405
sample_00061,2.57E+03,1.29E+02,0.989982,2.62E+19,2.51E+19,2.54E+19,2.60E+19,0.00024,0.00179,0.00177,0.00181,0.0018,8.49E+16,8.48E+16,8.50E+16,8.49E+16,2750080,2749800,2753940,2751100,0.00083,0.00076,0.00078,0.0008,0.00083,0.00076,0.00078,0.0008,0.38189095,5.76238938,4.10133307,5.74676252,5.88050214,4.67409756,3.14578053,6.13675729
sample_00062,2.56E+03,1.29E+02,0.979206,2.60E+19,2.60E+19,2.59E+19,2.57E+19,0.00025,0.00129,0.00128,0.00134,0.00131,8.49E+16,8.50E+16,8.49E+16,8.47E+16,2751820,2756180,2750540,2745650,0.00079,0.00076,0.00081,0.00078,0.00079,0.00076,0.00081,0.00078,1.81278881,3.08293026,1.31024425,5.75230314,1.77811989,2.20106599,1.46650106,2.06751864
sample_00063,2.59E+03,1.30E+02,0.992931,2.54E+19,2.55E+19,2.59E+19,2.57E+19,0.00024,0.00129,0.00125,0.00127,0.00129,8.50E+16,8.48E+16,8.49E+16,8.48E+16,2753270,2749560,2750270,2746800,0.00081,0.00078,0.00082,0.00079,0.00081,0.00078,0.00082,0.00079,0.076617042,4.90288608,1.33825649,0.679924496,2.98109571,5.66772292,0.1223486,1.09382236
